Words,Frequency,Rank
the,5987,1
i,5802,2
you,4982,3
a,4961,4
to,4171,5
and,3557,6
girl,2945,7
guy,2735,8
of,2312,9
it,2134,10
that,2096,11
on,2056,12
in,2035,13
is,1996,14
like,1555,15
my,1479,16
so,1332,17
but,1330,18
this,1268,19
have,1267,20
me,1264,21
with,1240,22
for,1181,23
was,1179,24
im,1137,25
not,1137,26
what,1125,27
dont,1093,28
no,1085,29
man,1046,30
its,1033,31
know,1002,32
just,1001,33
woman,991,34
your,967,35
are,947,36
be,937,37
he,901,38
do,886,39
yeah,837,40
get,781,41
at,781,42
all,744,43
chick,714,44
we,697,45
if,683,46
up,665,47
they,663,48
oh,650,49
she,642,50
out,641,51
good,634,52
teen,587,53
one,572,54
cell,571,55
will,567,56
well,563,57
can,556,58
her,555,59
there,520,60
lady,519,61
from,516,62
thats,514,63
very,497,64
about,494,65
youre,484,66
boy,484,67
think,481,68
want,470,69
his,469,70
jack,465,71
really,465,72
go,462,73
or,455,74
when,439,75
how,427,76
going,422,77
were,414,78
some,414,79
little,413,80
him,410,81
got,405,82
black,393,83
right,390,84
old,388,85
why,384,86
then,384,87
an,376,88
now,375,89
had,365,90
would,364,91
dude,363,92
people,358,93
who,357,94
cant,352,95
see,343,96
as,340,97
time,339,98
more,336,99
did,333,100
here,325,101
quite,323,102
shit,320,103
look,319,104
too,308,105
mean,304,106
fruit,301,107
white,298,108
them,291,109
mom,290,110
hobo,285,111
because,282,112
has,276,113
back,274,114
drunk,274,115
off,273,116
fuck,271,117
hes,270,118
where,267,119
new,264,120
train,260,121
arthur,260,122
nice,260,123
tourist,259,124
come,256,125
top,254,126
over,253,127
say,252,128
could,252,129
need,249,130
fucking,249,131
wine,248,132
than,246,133
bit,244,134
take,239,135
didnt,237,136
god,235,137
by,235,138
make,234,139
yo,230,140
into,228,141
sparrow,227,142
queer,223,143
gonna,220,144
tell,220,145
something,220,146
said,218,147
even,216,148
only,216,149
hipster,215,150
am,213,151
two,213,152
still,213,153
been,211,154
hey,211,155
ill,209,156
down,208,157
much,203,158
never,201,159
should,200,160
way,200,161
long,198,162
ha,197,163
shes,194,164
other,192,165
touch,187,166
day,178,167
love,177,168
yes,175,169
give,175,170
ever,173,171
whats,171,172
nose,169,173
lovely,168,174
suit,166,175
any,165,176
thing,165,177
crazy,165,178
ive,164,179
last,163,180
dad,163,181
us,162,182
elizabeth,161,183
these,160,184
does,159,185
head,159,186
those,157,187
rather,156,188
stop,154,189
theyre,150,190
turner,148,191
fine,148,192
id,148,193
friend,147,194
father,147,195
dry,145,196
bare,143,197
next,141,198
years,141,199
aint,141,200
better,139,201
mother,139,202
again,139,203
doesnt,138,204
first,136,205
theres,136,206
find,135,207
york,134,208
sex,134,209
ass,132,210
their,132,211
always,131,212
money,131,213
call,128,214
wait,128,215
sure,127,216
gay,127,217
drinking,126,218
big,125,219
kid,125,220
maybe,124,221
someone,124,222
around,124,223
put,124,224
okay,123,225
after,123,226
away,120,227
dog,119,228
bitch,119,229
guys,118,230
let,118,231
hot,118,232
young,117,233
rich,117,234
baby,116,235
ghetto,116,236
thought,116,237
bad,115,238
name,115,239
work,115,240
palate,115,241
eat,114,242
lot,114,243
drink,113,244
being,113,245
gibbs,113,246
feel,113,247
uh,112,248
bottle,112,249
looking,111,250
told,111,251
cause,111,252
conductor,111,253
isnt,111,254
pretty,109,255
girls,108,256
asian,107,257
totally,107,258
sorry,107,259
night,107,260
excuse,106,261
sir,106,262
wanna,106,263
looks,105,264
great,105,265
open,103,266
guess,103,267
anything,103,268
please,102,269
launcelot,101,270
made,101,271
before,100,272
while,100,273
street,99,274
dead,99,275
believe,98,276
face,97,277
perhaps,97,278
kids,96,279
swann,96,280
getting,95,281
son,95,282
must,95,283
keep,94,284
which,94,285
our,94,286
home,93,287
three,93,288
today,93,289
jones,93,290
food,92,291
every,92,292
might,91,293
probably,91,294
year,90,295
fat,90,296
talking,90,297
remember,90,298
through,90,299
wont,90,300
left,89,301
life,89,302
real,89,303
place,89,304
island,88,305
used,87,306
enough,87,307
kill,87,308
help,84,309
person,84,310
times,83,311
went,83,312
many,83,313
everyone,82,314
trying,82,315
school,82,316
kind,82,317
buy,82,318
finish,82,319
doing,81,320
seems,81,321
seen,81,322
lets,81,323
galahad,80,324
knight,80,325
heard,80,326
wasnt,79,327
tween,79,328
wouldnt,79,329
talk,79,330
hell,79,331
male,78,332
hate,78,333
fun,78,334
bus,78,335
guard,77,336
same,77,337
um,77,338
stuff,77,339
hear,76,340
gotta,76,341
having,76,342
scene,76,343
female,75,344
show,75,345
yet,75,346
car,75,347
attractive,75,348
store,75,349
best,74,350
called,74,351
actually,74,352
hand,74,353
says,74,354
jesus,74,355
makes,72,356
seeks,72,357
things,72,358
saw,72,359
balance,71,360
phone,71,361
wanted,71,362
care,71,363
slightly,71,364
city,71,365
walk,71,366
norrington,71,367
hard,70,368
shut,70,369
college,70,370
hair,70,371
high,70,372
least,70,373
ni,69,374
another,69,375
without,69,376
whatever,69,377
knights,69,378
lord,69,379
needs,69,380
try,68,381
use,67,382
bedevere,67,383
married,67,384
already,67,385
nigga,66,386
pintel,66,387
men,66,388
once,65,389
though,65,390
honey,65,391
damn,65,392
tonight,65,393
nicely,65,394
side,65,395
fuckin,64,396
world,64,397
anyone,64,398
ok,64,399
music,64,400
acidity,64,401
own,64,402
girlfriend,64,403
elegant,63,404
vintage,63,405
pleasant,63,406
wow,62,407
live,62,408
complex,62,409
goes,62,410
five,61,411
havent,61,412
customer,61,413
wife,61,414
run,61,415
french,61,416
professor,61,417
boyfriend,60,418
sweet,60,419
end,60,420
wearing,60,421
thug,60,422
small,60,423
hit,60,424
myself,59,425
length,59,426
half,59,427
coming,59,428
most,59,429
davy,58,430
morning,58,431
house,58,432
king,58,433
less,58,434
robin,58,435
chest,58,436
change,58,437
move,57,438
watch,57,439
stupid,57,440
leave,57,441
understand,57,442
mineral,57,443
done,56,444
word,56,445
wines,56,446
bag,56,447
chinese,56,448
ragetti,56,449
intense,56,450
age,55,451
youll,55,452
pregnant,55,453
red,55,454
else,55,455
door,55,456
smell,55,457
nothing,54,458
room,54,459
almost,54,460
saying,54,461
such,54,462
ship,54,463
behind,53,464
came,53,465
few,53,466
beckett,53,467
subway,53,468
wrong,52,469
date,52,470
pants,52,471
job,52,472
mature,51,473
student,51,474
start,51,475
brother,51,476
taking,51,477
pure,51,478
smells,51,479
singing,51,480
wear,50,481
free,50,482
driver,50,483
week,50,484
line,50,485
dick,50,486
happy,50,487
class,50,488
friends,50,489
fresh,50,490
cut,50,491
hightoned,50,492
die,50,493
mommy,50,494
middle,50,495
thinking,49,496
thanks,49,497
crew,49,498
balanced,49,499
both,49,500
walking,49,501
days,49,502
children,49,503
easy,49,504
mouth,49,505
until,49,506
rated,49,507
pussy,49,508
gave,48,509
everything,48,510
thank,48,511
child,48,512
weight,48,513
whole,48,514
between,48,515
boom,48,516
sister,48,517
problem,48,518
interesting,47,519
cool,47,520
front,47,521
anyway,47,522
villager,47,523
jewish,47,524
pearl,47,525
excellent,47,526
cashier,47,527
pause,47,528
ask,47,529
huh,47,530
either,47,531
youve,47,532
wants,47,533
together,46,534
nyu,46,535
arent,46,536
brooklyn,46,537
deck,46,538
different,46,539
burn,46,540
spare,45,541
fire,45,542
holding,45,543
later,45,544
fragrant,45,545
english,45,546
read,45,547
hold,45,548
hello,45,549
took,45,550
bring,45,551
wish,45,552
whos,45,553
cop,45,554
since,45,555
ladies,44,556
flying,44,557
clean,44,558
yourself,44,559
standing,44,560
spanish,44,561
cute,43,562
vendor,43,563
minutes,43,564
forward,43,565
eyes,43,566
key,43,567
making,43,568
tannins,43,569
glass,43,570
may,43,571
older,42,572
hands,42,573
ripe,42,574
hope,42,575
witch,42,576
cannibal,42,577
course,42,578
seriously,42,579
straight,42,580
four,42,581
park,42,582
true,42,583
nah,42,584
listen,42,585
also,42,586
telling,41,587
drinkable,41,588
simple,41,589
special,41,590
sleep,41,591
sitting,41,592
happened,41,593
country,41,594
under,41,595
second,41,596
found,41,597
women,40,598
employee,40,599
dollars,40,600
jap,40,601
stops,40,602
each,40,603
play,40,604
holy,40,605
movie,40,606
tall,40,607
book,40,608
died,40,609
means,40,610
party,40,611
couldnt,40,612
soft,39,613
asshole,39,614
turn,39,615
mad,39,616
character,39,617
clop,39,618
stand,39,619
throw,39,620
tia,39,621
pay,39,622
light,39,623
water,39,624
grail,38,625
crowd,38,626
relationship,38,627
inside,38,628
supposed,38,629
working,38,630
eye,38,631
fit,38,632
pee,38,633
security,38,634
fucked,38,635
lesbian,38,636
funny,38,637
although,38,638
colour,38,639
dutchman,38,640
movies,38,641
beach,38,642
shirt,38,643
short,38,644
fairly,38,645
body,37,646
walks,37,647
met,37,648
italian,37,649
homeless,37,650
taste,37,651
square,37,652
beautiful,37,653
outside,37,654
sound,37,655
bed,37,656
eating,37,657
number,36,658
sit,36,659
sometimes,36,660
lost,36,661
yuppie,36,662
em,36,663
anymore,36,664
style,36,665
wheres,36,666
table,36,667
asked,36,668
sense,36,669
tim,36,670
ago,35,671
green,35,672
blonde,35,673
turns,35,674
couple,35,675
captain,35,676
vagina,35,677
likes,35,678
hours,35,679
building,35,680
decent,35,681
blood,35,682
part,35,683
cutler,35,684
sell,35,685
stay,35,686
weird,35,687
past,34,688
clear,34,689
break,34,690
ugly,34,691
mind,34,692
lots,34,693
build,34,694
sign,34,695
meet,34,696
daughter,34,697
single,34,698
late,34,699
worry,33,700
east,33,701
rship,33,702
doors,33,703
idea,33,704
delicious,33,705
point,33,706
husband,33,707
bathroom,33,708
showing,33,709
running,33,710
picture,33,711
sort,33,712
ones,33,713
shall,32,714
doctor,32,715
sword,32,716
cold,32,717
blind,32,718
crack,32,719
gets,32,720
slim,32,721
started,32,722
loud,32,723
alone,32,724
six,32,725
pick,32,726
living,32,727
daddy,32,728
speak,32,729
penis,32,730
