,Awards,Awards_won,Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_won,Prime_Emmys_Awards_won,BAFTA_Awards_won,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,Prime_Emmys_Awards_nominated,BAFTA_Awards_nominated
3,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
4,1 win.,1,0,0,0,0,0,0,0,0,0
5,1 nomination.,0,1,0,0,0,0,0,0,0,0
6,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
7,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11,5 nominations.,0,5,0,0,0,0,0,0,0,0
13,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
15,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,14,0,0,0,0,1,0,0,0
18,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0
24,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,35,0,0,0,0,0,1,0,0
25,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
28,1 nomination.,0,1,0,0,0,0,0,0,0,0
31,5 nominations.,0,5,0,0,0,0,0,0,0,0
34,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
37,22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0,0
38,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
39,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
43,2 nominations.,0,2,0,0,0,0,0,0,0,0
47,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
50,Won 2 Golden Globes. Another 68 wins & 201 nominations.,70,201,0,2,0,0,0,0,0,0
51,Won 1 Golden Globe. Another 31 wins & 143 nominations.,32,143,0,1,0,0,0,0,0,0
53,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,20,0,0,0,0,0,0,4,0
54,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
56,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
62,2 wins.,2,0,0,0,0,0,0,0,0,0
69,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
72,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0
76,9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0,0
79,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,2,6,0,0,1,0,0,0,0,0
84,1 nomination.,0,1,0,0,0,0,0,0,0,0
87,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,42,0,0,0,0,0,0,0,3
88,6 nominations.,0,6,0,0,0,0,0,0,0,0
90,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
91,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
94,14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0,0
97,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
102,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
116,2 nominations.,0,2,0,0,0,0,0,0,0,0
117,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
118,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,15,0,0,0,0,0,1,0,0
121,2 wins.,2,0,0,0,0,0,0,0,0,0
134,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,0,0,0,0,0,0,1,0
135,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
138,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
139,1 nomination.,0,1,0,0,0,0,0,0,0,0
146,2 wins.,2,0,0,0,0,0,0,0,0,0
150,1 nomination.,0,1,0,0,0,0,0,0,0,0
152,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0,0
162,1 win.,1,0,0,0,0,0,0,0,0,0
164,1 win.,1,0,0,0,0,0,0,0,0,0
166,15 wins & 4 nominations.,15,4,0,0,0,0,0,0,0,0
167,1 win.,1,0,0,0,0,0,0,0,0,0
180,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
181,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
184,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0
