Organization Group,,Department,mean
Community Health,0,Public Health,96190.19013988487
Culture & Recreation,5,Law Library,188424.36222222226
Culture & Recreation,1,Academy of Sciences,107319.72769230767
Culture & Recreation,2,Arts Commission,94339.59738764046
Culture & Recreation,8,War Memorial,76250.06802153435
Culture & Recreation,3,Asian Art Museum,71401.52006042302
Culture & Recreation,6,Public Library,70446.35214706276
Culture & Recreation,4,Fine Arts Museum,44205.43989478499
Culture & Recreation,7,Recreation and Park Commission,38912.85946523483
General Administration & Finance,11,City Attorney,166082.67756061684
General Administration & Finance,22,Retirement System,117717.65858902574
General Administration & Finance,18,General Services Agency - Technology,110783.680158004
General Administration & Finance,21,Mayor,110765.3913327032
General Administration & Finance,14,Controller,104515.23494400665
General Administration & Finance,16,Ethics Commission,98631.38036585363
General Administration & Finance,9,Assessor/Recorder,89994.26061397773
General Administration & Finance,12,City Planning,89022.8769657349
General Administration & Finance,17,General Services Agency - City Admin,86123.5476094114
General Administration & Finance,23,Treasurer/Tax Collector,85449.25317039725
General Administration & Finance,10,Board of Supervisors,78801.34764132547
General Administration & Finance,19,Health Service System,70016.07113737096
General Administration & Finance,20,Human Resources,69729.72273740705
General Administration & Finance,13,Civil Service Commission,67966.75655913982
General Administration & Finance,15,Elections,20493.166617519495
General City Responsibilities,24,General Fund Unallocated,15824.151304347828
Human Welfare & Neighborhood Development,34,Rent Arbitration Board,102181.79394101881
Human Welfare & Neighborhood Development,25,Child Support Services,100044.07099747477
Human Welfare & Neighborhood Development,26,Children and Families Commission,96575.36619047615
Human Welfare & Neighborhood Development,30,Environment,75360.38745183885
Human Welfare & Neighborhood Development,27,"Children, Youth & Their Families",74304.9332835822
Human Welfare & Neighborhood Development,33,Human Services,65945.32768862949
Human Welfare & Neighborhood Development,32,Human Rights Commission,55672.50668269228
Human Welfare & Neighborhood Development,29,Department of the Status of Women,47968.52290322583
Human Welfare & Neighborhood Development,28,Community Investment & Infrastructure,42864.05653846154
Human Welfare & Neighborhood Development,31,Homelessness and Supportive Housing,40771.130277777775
Public Protection,38,Fire Department,180788.0869790982
Public Protection,41,Public Defender,147552.18573936517
Public Protection,40,Police,141263.70172872025
Public Protection,37,District Attorney,141215.3785571144
Public Protection,42,Sheriff,140381.59054187225
Public Protection,36,Department of Emergency Management,127421.75279331968
Public Protection,35,Adult Probation,100179.75876692815
Public Protection,43,Superior Court,99315.44936304331
Public Protection,39,Juvenile Probation,78586.8298231393
"Public Works, Transportation & Commerce",55,Port,112139.68001718225
"Public Works, Transportation & Commerce",46,Department of Building Inspection,112051.6151824817
"Public Works, Transportation & Commerce",54,PUC Water Department,109806.58756692831
"Public Works, Transportation & Commerce",53,PUC Wastewater Enterprise,108963.58978630723
"Public Works, Transportation & Commerce",47,Economic and Workforce Development,106112.40943204873
"Public Works, Transportation & Commerce",51,PUC Hetch Hetchy,105280.81533018878
"Public Works, Transportation & Commerce",52,PUC Public Utilities Commission,103433.58550627176
"Public Works, Transportation & Commerce",49,Municipal Transportation Agency,99471.11182204491
"Public Works, Transportation & Commerce",44,Airport Commission,96191.57823387011
"Public Works, Transportation & Commerce",48,General Services Agency - Public Works,89741.68256691552
"Public Works, Transportation & Commerce",45,Board of Appeals,51990.63488888887
"Public Works, Transportation & Commerce",50,PUC Clean Power,30940.465000000004
