,home,Score
0,Abahani Limited,172.0
1,Abbottabad Falcons,139.45454545454547
2,Abbottabad Region,182.66666666666666
3,Abbottabad Rhinos,165.0
4,Adelaide Strikers,163.11111111111111
5,Afghanistan,145.5609756097561
6,Andhra,130.69230769230768
7,Antigua,146.0
8,Antigua Hawksbills,106.0
9,Antigua and Barbuda,153.0
10,Assam,139.0
11,Auckland,164.25714285714287
12,Australia,154.78787878787878
13,Australia A,174.0
14,Azad Jammu & Kashmir Region,123.0
15,Badureliya Sports Club,155.0
16,Bahawalpur Region,154.6
17,Bahawalpur Stags,149.16666666666666
18,Baluchistan,217.0
19,Bangladesh,145.13333333333333
20,Bangladesh A,166.0
21,Bangladesh XI,132.0
22,Barbados,120.84615384615384
23,Barbados Tridents,147.6153846153846
24,Barisal Bulls,157.75
25,Barisal Burners,154.72727272727272
26,Barisal Division,118.0
27,Baroda,148.71428571428572
28,Basnahira,141.66666666666666
29,Basnahira Cricket Dundee,129.0
30,Basnahira Greens,139.0
31,Basnahira North,126.0
32,Basnahira South,139.75
33,Bengal,154.76
34,Bermuda,149.5
35,Bloomfield Cricket and Athletic Club,124.16666666666667
36,Boland,146.57142857142858
37,Border,135.7
38,Brisbane Heat,181.42857142857142
39,Burgher Recreation Club,132.4
40,Canada,133.58333333333334
41,Canterbury,161.9
42,Cape Cobras,155.15384615384616
43,Central Districts,165.9090909090909
44,Centrals,117.0
45,Chennai Super Kings,167.34426229508196
46,Chilaw Marians Cricket Club,155.75
47,Chittagong Kings,159.1
48,Chittagong Vikings,162.5
49,Colombo Commandos,155.0
50,Colombo Cricket Club,161.75
51,Colts Cricket Club,157.55555555555554
52,Combined Campuses and Colleges,134.5
53,Combined Provinces,156.0
54,Comilla Victorians,138.85714285714286
55,Deccan Chargers,153.92307692307693
56,Delhi,145.93939393939394
57,Delhi Daredevils,155.0
58,Derbyshire,146.57142857142858
59,Dhaka Division,130.0
60,Dhaka Dynamites,138.8
61,Dhaka Gladiators,172.66666666666666
62,Dhaka Metropolis,168.5
63,Dolphins,157.17857142857142
64,Durham,155.37142857142857
65,Duronto Rajshahi,149.4
66,Eagles,152.08333333333334
67,Eastern Cape,116.0
68,Eastern Province,131.92307692307693
69,Easterns,148.33333333333334
70,Easterns (Zimbabwe),144.25
71,England,157.76470588235293
72,England Lions,149.33333333333334
73,Essex,167.3409090909091
74,FATA Cheetas,140.0
75,Faisalabad Wolves,149.58620689655172
76,Federally Administered Tribal Areas,139.5
77,Free State,150.9
78,Galle Cricket Club,109.0
79,Galle Guardians,145.33333333333334
80,Gauteng,129.22222222222223
81,Glamorgan,145.3548387096774
82,Gloucestershire,154.63636363636363
83,Goa,154.9
84,Grenada,70.0
85,Griqualand West,138.44444444444446
86,Gujarat,153.84615384615384
87,Gujarat Lions,161.0
88,Guyana,139.57142857142858
89,Guyana Amazon Warriors,136.06666666666666
90,Habib Bank Limited,139.4
91,Hambantota Troopers,132.5
92,Hampshire,161.79591836734693
93,Haryana,138.15
94,Himachal Pradesh,138.23076923076923
95,Hobart Hurricanes,174.72727272727272
96,Hong Kong,129.66666666666666
97,Hyderabad (India),164.33333333333334
98,Hyderabad Hawks,160.28571428571428
99,Hyderabad Region,175.0
100,India,148.1818181818182
101,India A,214.0
102,Ireland,128.28
103,Islamabad,151.0
104,Islamabad Leopards,135.33333333333334
105,Islamabad United,149.85714285714286
106,Italy,130.2
107,Jamaica,117.36363636363636
108,Jamaica Tallawahs,151.8125
109,Jersey,107.0
110,Jharkhand,130.9
111,Kandurata,141.66666666666666
112,Kandurata Maroons,132.0
113,Kandurata Warriors,155.0
114,Kandy Crusaders,156.0
115,Karachi Blues,169.5
116,Karachi Kings,154.5
117,Karachi Region Blues,185.0
118,Karachi Whites,161.0
119,Karachi Zebras,159.11111111111111
120,Karnataka,134.33333333333334
121,Kent,157.525
122,Kenya,146.0
123,Kerala,143.0
124,Khan Research Laboratories,131.66666666666666
125,Khan Research Labs,131.66666666666666
126,Khulna Division,134.0
127,Khulna Royal Bengals,168.8
128,Khulna Titans,133.0
129,Khyber Pakhtunkhwa,146.0
130,Kings XI Punjab,169.25
131,Knights,154.9090909090909
132,Kochi Tuskers Kerala,129.66666666666666
133,Kolkata Knight Riders,146.57142857142858
134,Kurunegala Warriors,143.5
135,Kurunegala Youth Cricket Club,148.0
136,KwaZulu-Natal,137.2
137,KwaZulu-Natal Inland,137.25
138,Lahore Blues,136.0
139,Lahore Eagles,165.07692307692307
140,Lahore Lions,159.52631578947367
141,Lahore Qalandars,179.0
142,Lahore Region Blues,125.5
143,Lahore Region Whites,169.0
144,Lahore Whites,162.66666666666666
145,Lancashire,154.05769230769232
146,Lankan Cricket Club,93.0
147,Larkana Region,142.0
