match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target
"North Group:Durham v Nottinghamshire at Chester-le-Street- Jun 13, 2003",Durham won by 6 wickets (with 5 balls remaining),Nottinghamshire 157/7 (20/20 ov); Durham 160/4 (19.1/20 ov),13/06/2003,Chester-le-Street,North Group,Durham,Nottinghamshire,Durham,,6,5,Nottinghamshire,157,7,20,20,Durham,160,4,19.1,20,,
"South Group:Hampshire v Sussex at Southampton- Jun 13, 2003",Hampshire won by 5 runs,Hampshire 153 (19.4/20 ov); Sussex 148/7 (20/20 ov),13/06/2003,Southampton,South Group,Hampshire,Sussex,Hampshire,5,,,Hampshire,153,10,19.4,20,Sussex,148,7,20,20,,
"Midlands/Wales/West Group:Somerset v Warwickshire at Taunton- Jun 13, 2003",Warwickshire won by 19 runs,Warwickshire 188/7 (20/20 ov); Somerset 169 (20/20 ov),13/06/2003,Taunton,Midlands/Wales/West Group,Somerset,Warwickshire,Warwickshire,19,,,Warwickshire,188,7,20,20,Somerset,169,10,20,20,,
"South Group:Surrey v Middlesex at The Oval- Jun 13, 2003",Surrey won by 4 wickets (with 4 balls remaining),Middlesex 155 (20/20 ov); Surrey 158/6 (19.2/20 ov),13/06/2003,The Oval,South Group,Surrey,Middlesex,Surrey,,4,4,Middlesex,155,10,20,20,Surrey,158,6,19.2,20,,
"Midlands/Wales/West Group:Worcestershire v Northamptonshire at Worcester- Jun 13, 2003",Worcestershire won by 1 wicket (with 2 balls remaining),Northamptonshire 150/9 (20/20 ov); Worcestershire 151/9 (19.4/20 ov),13/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Northamptonshire,Worcestershire,,1,2,Northamptonshire,150,9,20,20,Worcestershire,151,9,19.4,20,,
"Midlands/Wales/West Group:Gloucestershire v Worcestershire at Bristol- Jun 14, 2003",Gloucestershire won by 4 wickets (with 5 balls remaining),Worcestershire 122 (19.5/20 ov); Gloucestershire 126/6 (19.1/20 ov),14/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Worcestershire,Gloucestershire,,4,5,Worcestershire,122,10,19.5,20,Gloucestershire,126,6,19.1,20,,
"South Group:Surrey v Essex at East Molesey- Jun 14, 2003",Surrey won by 44 runs,Surrey 182/9 (20/20 ov); Essex 138 (18.5/20 ov),14/06/2003,East Molesey,South Group,Surrey,Essex,Surrey,44,,,Surrey,182,9,20,20,Essex,138,10,18.5,20,,
"North Group:Yorkshire v Derbyshire at Leeds- Jun 14, 2003",Yorkshire won by 45 runs,Yorkshire 186/5 (20/20 ov); Derbyshire 141 (18.1/20 ov),14/06/2003,Leeds,North Group,Yorkshire,Derbyshire,Yorkshire,45,,,Yorkshire,186,5,20,20,Derbyshire,141,10,18.1,20,,
"Midlands/Wales/West Group:Glamorgan v Northamptonshire at Cardiff- Jun 16, 2003",Northamptonshire won by 23 runs,Northamptonshire 159/5 (20/20 ov); Glamorgan 136 (18.4/20 ov),16/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Northamptonshire,Northamptonshire,23,,,Northamptonshire,159,5,20,20,Glamorgan,136,10,18.4,20,,
"South Group:Kent v Hampshire at Beckenham- Jun 16, 2003",Kent won by 6 wickets (with 48 balls remaining),Hampshire 145/6 (20/20 ov); Kent 147/4 (12/20 ov),16/06/2003,Beckenham,South Group,Kent,Hampshire,Kent,,6,48,Hampshire,145,6,20,20,Kent,147,4,12,20,,
"North Group:Leicestershire v Yorkshire at Leicester- Jun 16, 2003",Leicestershire won by 16 runs,Leicestershire 174/6 (20/20 ov); Yorkshire 158 (20/20 ov),16/06/2003,Leicester,North Group,Leicestershire,Yorkshire,Leicestershire,16,,,Leicestershire,174,6,20,20,Yorkshire,158,10,20,20,,
"North Group:Nottinghamshire v Lancashire at Nottingham- Jun 16, 2003",Nottinghamshire won by 7 wickets (with 5 balls remaining),Lancashire 120 (19.2/20 ov); Nottinghamshire 124/3 (19.1/20 ov),16/06/2003,Nottingham,North Group,Nottinghamshire,Lancashire,Nottinghamshire,,7,5,Lancashire,120,10,19.2,20,Nottinghamshire,124,3,19.1,20,,
