Sender,Subject,Date-Time,Content,Frequency
"""Beau Herrold"" <beau@layfam.com>",Stacy Eastland,"Mon, 14 Aug 2000 08:28:00 -0700 (PDT)","I spoke to Barry Margolis this afternoon and he  confirmed Stacey's planned 
departure from Baker Botts.? Barry has spoken to  Stacy over the past week 
about it.??Stacey will be going to Goldman  Sachs October 1 to develop tax 
products.
?
Barry would like to set-up a metting with you to  discuss this.? He doesn't 
think that anyone at Baker Botts has the depth  that Stacy has.? He is also 
concerned about certain issues that may need to  be dealt with at year-end.? 
Therefore, it sounds like we need to find a  qualified replacement.","[('Barry', 3), ('Baker', 2), ('like', 2)]"
Daler B Wade,Thank You,"Thu, 17 Aug 2000 05:47:00 -0700 (PDT)","Ken,

It has been a pleasure serving on the Diversity Task Force for Enron and 
sharing in your vision for all employees.  My membership on the team is being 
transferred to someone else within our organization.  I trust that many of 
the Diversity Action Steps  will be implemented and accomplished this year.

Thanks again,

Daler

","[('Diversity', 2), ('within', 1), ('Daler', 1)]"
"""George, Nancy W."" <GeorgeN@EPEnergy.com>",RE: References for Board Appointment,"Mon, 11 Sep 2000 03:20:00 -0700 (PDT)","Thanks,  As you know I have wanted to do this for a long time.  Now it is
time to have fun.   Nancy

> -----Original Message-----
> From: Kenneth.Lay@enron.com [SMTP:Kenneth.Lay@enron.com]
> Sent: Friday, September 08, 2000 8:11 PM
> To: George, Nancy W.
> Subject: Re: References for Board Appointment
>
>
> Hi Nancy -
>
> Ken asked me to tell you that you can absolutely use him as a reference.
>
> Hope you are doing just great.
>
> Rosalee
>
>
>
>
> ""George, Nancy W."" <GeorgeN@EPEnergy.com> on 08/30/2000 02:43:38 PM
>
> To:   ""'kenneth.lay@enron.com'"" <kenneth.lay@enron.com>
> cc:
> Subject:  References for Board Appointment
>
>
> Ken,
>
> Bruce Peterson at Korn/Ferry International has offered to suggest my name
> to
> various corporations for board appointments.  I plan to leave El Paso at
> the
> end of the year.  Please find attached a draft of my background
> information.
> May I use you as a reference?  Let me know if this meets with your
> approval.
> I enjoyed seeing you and your family at the convention.  Thank you in
> advance for your assistance.
>
> Nancy
>
>  <<NWG Background Info.doc>>
>
>
> ******************************************************************
> This email and any files transmitted with it from El Paso
> Energy Corporation are confidential and intended solely
> for the use of the individual or entity to whom they are
> addressed. If you have received this email in error
> please notify the sender.
> ******************************************************************
>
> (See attached file: NWG Background Info.doc)
>
>  << File: NWG Background Info.doc >> ","[('Nancy', 5), ('I', 4), ('Background', 3)]"
"""Watson, John"" <jwatson@velaw.com>",,"Mon, 11 Sep 2000 06:09:00 -0700 (PDT)","I got Goldberg's comments this morning on the term sheet with the Rockets.
there are a number of technical comments which we will make.  There are
about four substantive comments that we are working on and will review with
Tracey Ellison.  Two of the comments relate to you.  Goldberg wants to limit
seats to a maximum of 20 per Partner, not 300 total, because he said you
said at the meeting that each Partner would have a maximum of 20 seats.  I
didn't recall that any such statement by you was meant to limit the 300
seats but was merely an indication of about how many each Partner would
have.  Goldberg admitted the 300 seats was on the sheet handed out at the
meeting.  I can't believe Goldberg is continuing to haggle on this issue.  I
think we should say that the maximum of 300 seats is what the Partners
approved and be done with it.

The other issue is the amount of the referendum funding.  Goldberg said he
understood that the Rockets would match what the ""Partners"" would put up.
Alternatively he wants the right for the Rockets to raise part of their $1.5
million from others and get credit for it.  I'm not sure whether the Rockets
would interfere with you raising your balance of the $1.5 million.  In any
case I need your input on this issue both for the Rockets term sheet and
determining how much we need to get advanced on the loan from the Sports
Authority.

John S. Watson
Vinson & Elkins LLP
1001 Fannin
2300 First City Tower
Houston, TX 77002-6760
Voice: 713/758-2556
Fax: 713/615-5236
Email: jwatson@velaw.com

PRIVILEGED AND CONFIDENTIAL:
Contains attorney-client communications
and/or attorney work product



","[('I', 6), ('Goldberg', 5), ('Rockets', 5)]"
Cynthia Sandherr,Re: New PUHCA Exemption Legislative Language,"Mon, 11 Sep 2000 06:47:00 -0700 (PDT)","thanks, Rosie...that's what I suspected.  By the way, I spoke to Senator 
Gramm's staff today who confirmed that Senator Gramm also said he would 
oppose it.  Interesting that sometimes people hear what they want to hear, 
isn't it.  




Kenneth Lay on 09/11/2000 07:23:51 AM
Sent by: Rosalee Fleming
To: Cynthia Sandherr/Corp/Enron@ENRON
cc: Steven J Kean/NA/Enron@Enron, Richard Shapiro/HOU/EES@EES, James D 
Steffes/HOU/EES@EES, Joe Hillings/Corp/Enron@ENRON, Tom 
Briggs/NA/Enron@Enron, Joe Hartsoe/Corp/Enron@ENRON, Sarah 
Novosel/Corp/Enron@ENRON, dwatkiss@bracepatt.com, awenner@velaw.com 

Subject: Re: New PUHCA Exemption Legislative Language  

Cynthia, Ken said to tell you that he told David Sokol we would probably 
oppose it.

Rosie


Cynthia Sandherr
09/08/2000 04:49 PM


To: Kenneth Lay/Corp/Enron@ENRON, Steven J Kean/NA/Enron@Enron, Richard 
Shapiro/HOU/EES@EES, James D Steffes/HOU/EES@EES, Joe 
Hillings/Corp/Enron@ENRON, Tom Briggs/NA/Enron@Enron, Joe 
Hartsoe/Corp/Enron@ENRON, Sarah Novosel/Corp/Enron@ENRON, 
dwatkiss@bracepatt.com, awenner@velaw.com
cc:  
Subject: New PUHCA Exemption Legislative Language

Yesterday, Ken Lay spoke with MidAmerican CEO David Sokol regarding the 
attached new legislative amendment to provide a limited PUHCA exemption for 
companies with a high level of financial stability as determined by 
independent market analysts (i.e. ""A"" rating for Holding Companies or 
investment grade rating for utility companies).  This is not a permanent 
exemption as PUHCA would again apply should the company loose its high rating.

MidAmerican's lobbyist reported this conversation to me along with Ken Lay's 
reported commitment that we would review it as soon as we could.  Reportedly, 
Ken Lay was non-committal but not negatively disposed.

The utility strategy is to have Senator Bob Kerrey (D-NE) offer this as an 
amendment to a ""must pass"" piece of legislation during the waning days of 
this Congressional session.  This will be separate from the utilities' 
strategy to enact Private Use legislation (H.R. 4971, S. 2967 which includes 
tax language to exclude water and sewage connection fees from gross income as 
contributions to capital and language to increase the amount permitted to 
paid into nuclear decommissioning reserve funds primarily  for Commonwealth 
Edison) and to enact stand-alone Reliability legislation (S. 2071 and H.R. 
2944).

Senator Kerrey has already spoken to Senator Gramm (R-TX) about this PUHCA 
amendment and Gramm was reportedly  non-committal but not negatively disposed 
to the idea.  I will follow-up with Gramm's staff next week after they've 
reviewed it and convey their views to you.  According to MidAmerican,  the 
concept to insure stockholder protection along with consumer protection was 
Senator Kerrey's idea.  

It is possible that Congressman Dingell (D-MI) and Congressman Markey (D-MA) 
would still actively oppose this limited exemption, especially given the fact 
that Congressman Dingell (who would Chair the Commerce Committee should the 
Democrats regain control of the House) has recently said that whether or not 
he is Commerce Committee Chairman next Congress, that comprehensive 
electricity restructuring legislation including PUHCA repeal is ""at least 
three years away from happening.""

Steve and Rick, can we get a temperature gauge next week as to our position 
on this amendment?  As a reminder, Enron's position here-to-date has been to 
oppose stand-alone PUHCA repeal as this is the one provision utilities like 
Southern Company really want.  To date, this strategy has worked with the 
MidAmerican Utility Group willing to support our transmission open access 
provisions in turn for our PUHCA exemption support. 






","[('PUHCA', 8), ('ENRON', 8), ('Senator', 6)]"
Lora Sullivan,President Banzer/President Clinton Meeting in NYC,"Mon, 11 Sep 2000 07:34:00 -0700 (PDT)","Steve Burns placed a call to the Bolivian Embassy on Friday afternoon.  I 
followed up with a phone call to Ambassador Marlene Fernandez today resulting 
in kudos from the Ambassador to Ken Lay and the Enron team for playing a 
pivotal role in the meeting with President Clinton and President Banzer in 
NYC.

Joe Hillings","[('President', 2), ('call', 2), ('Ambassador', 2)]"
Vanessa Groscrand,Advisory Council Meeting presentations,"Mon, 11 Sep 2000 07:57:00 -0700 (PDT)","Attached are copies of the recent Enron Advisory Council presentations.  

","[('Enron', 1), ('Council', 1), ('Advisory', 1)]"
<administrator@simmonsco-intl.com>,Stockguide,"Mon, 11 Sep 2000 08:02:00 -0700 (PDT)","Dear Herve Le Bouc



The latest version of the Simmons & Company International Monthly
Performance & Valuation Guide of Publicly Traded Oil Service Companies is
now available on line.  Data is current through July 31, 2000.  Please use
your password to log on to http://www.simmonsco-intl.com/stockguide.

Best regards,
Website Administrator
Simmons & Company International","[('International', 2), ('Simmons', 2), ('Company', 2)]"
"""Watch Watch"" <Watch@CSIS.ORG>","CSIS Watch Number 233 September 11, 2000","Mon, 11 Sep 2000 09:54:00 -0700 (PDT)","This message contains the latest issue of the CSIS Watch, focusing on U.S. 
involvement in Colombia and U.S.-South African relations.

For further information, contact the CSIS Director of Studies Office at 
202-887-0200, or reply to this e-mail.

*************************
U.S. Involvement in Colombia.

Edward Luttwak, CSIS senior fellow, says that the Colombian guerrilla groups, 
the FARC and ELN, aren't trained, aren't disciplined, and don't know how to 
shoot. How then do they control vast amounts of territory in southern 
Colombia? Because the Colombian army was never properly trained, asserts 
Luttwak. And the U.S. military is now teaching the Colombian army tactics 
that aren't appropriate for a jungle environment. Luttwak believes that the 
$1.3 billion aid package signed by Clinton to help the Colombian army is a 
mistake. Plus, whatever the United States does this year in terms of aid, it 
will have to do again next year.

Why is the United States getting involved?  The popular reason repeated on 
the Hill is to destroy the Colombian narcotics trade. Colombia contains most 
of the narcotics activity now, but that can easily move to a different 
country. The worst thing the United States could do, says Luttwak, would be 
to push the bulk of the coca production to a different Andean country in the 
""arc of fragility."" U.S. involvement also helps to mitigate the chances of 
the guerrillas overthrowing the civilian government, says Luttwak, noting 
that President Andres Pastrana's popularity is extremely low.

What then should the United States do? Luttwak's answer is to organize mobile 
training teams of people (as the United States did in El Salvador) to go into 
villages to create home guards, which would use weapons of a different 
caliber than the army. Luttwak asserts that this would work because people 
aren't divided politically at the village level. Such a solution, however, 
will not diminish narcotics trafficking.


The United States and South Africa: Drifting Apart?
The U.S.-South African relationship has undergone a significant shift, 
asserts Stephen Morrison, director of the CSIS Africa Program. The result of 
this shift is that the United States now feels that it needs South Africa 
much less than it did six years ago, while South Africa has come to value its 
relations with the United States much more than ever before.

For both countries, however, there has been a ratcheting down of 
expectations.  South African president Thabo Mbeki's May visit to Washington 
was marked by an anxiety that the next administration may reduce its contact 
with Africa. Thus, Mbeki attempted to reach out to a number of audiences-both 
the Bush and Gore camps as well as the U.S. Congress, corporate sector, and 
media. The response of the latter three was rather muted.

While the Gore-Mbeki Binational Commission proved that high-level 
intervention is essential to move forward on key issues, lacking was serious 
cooperation at the diplomatic level to respond to crises such as those in 
Congo, Angola, Zimbabwe, Sudan, Nigeria, or Sierra Leone. Plus, South Africa, 
fueled by protectionist interests, was largely ambivalent to the Africa 
Growth and Opportunity Act (AGOA). It remains to be seen if the South African 
private sector will seize this opportunity.

Morrison says that in the future, the relationship will be evaluated 
according to the level of development of joint diplomatic initiatives in 
Zimbabwe and Congo, collaboration on the AIDS epidemic, security enhancement, 
trade and investment, and debt relief. Some form of the binational commission 
should remain in place for the next administration, warns Morrison, because 
otherwise there will be contentious wrangling over issues of trade and 
investment, international property rights, AIDS policy, and security.


 - Watch 233.doc","[('United', 8), ('States', 8), ('Luttwak', 7)]"
"""John Hunter"" <jhunter@wei.org>",RE: Message for Ken Lay ENRON re Sept. 20,"Mon, 11 Sep 2000 07:16:00 -0700 (PDT)","Dear Mr. Lay  if I can be of help to Enron while still living in Mexico, I
would need to know by Sept. 20 (mid next week).

regards

John Hunter

>  -----Original Message-----
> From:  John Hunter
> Sent: August 23, 2000 3:59 PM
> To: 'klay@enron.com'
> Subject: Message for Ken Lay  ENRON
>
> Dr. Mr. Lay,
>
> I apologize for the ""cold call"" by e-mail, but this appears to be the
> easiest way to contact you, given communications from Mexico, where I am
> currently working and living.  We did meet some years ago at a conference
> in Houston when I was a VP of Union Gas, Ontario, Canada, which was later
> bought by Westcoast Energy and to which I migrated.
>
> I served as Vice President, International, of Westcoast Energy Inc. for 5
> years after Union Gas.  A year ago I elected to form my own consulting
> company when Westcoast constricted its international program in Asia, my
> prime area of interest at that time, to fund Alliance and their Mexican
> projects.  I remain on very good terms with Westcoast and have since done
> considerable work in Mexico for them.  Our Asia work was a real success,
> and we built the first Canadian power plant in China, and acquired and
> expanded a $550 MM US power plant in Indonesia.   Both are business and
> technical successes, and both were developed and built under my
> leadership.
>
> My current 8 month consulting assignment here in Mexico City for a large
> multi-national joint venture wraps up this month, and I am now seeking
> other employment. We would be happy to stay in Latin America/Caribbean, go
> back on the Asia beat, or try another geographical location.  My
> preference is contract work, full or part time, although I would consider
> full time permanent employment.  I thought perhaps Enron might have
> opportunities for someone with my experience and talents.
>
> My interests are primarily business development.  Although an engineer by
> training, I have been in the business and operations side for the last 20
> years.  My main area has been natural resources and energy.  I also enjoy
> strategy work, and apparently am good at it, judging by the results from
> the international plan I did as the first ever VP, International at
> Westcoast Energy.
>
> One item of note regarding project feasibility - while I ran Westcoast
> Energy's Asia business development and operations, we invested (with
> partners) over $600 MM US in five years with a total staff of 5 (including
> clerical), and a write-off rate of 0.14% of capital invested - possibly a
> record low.   I have good systems for risk review and mitigation, and  to
> screen projects, countries, partners, and  agents.
>
> The contracts I have been working on in Mexico are Pemex contracts, but
> are similar to the contracts used by CFE for IPPs, and drafted by the same
> law firm,  if Rosarito is any example.  Having worked on $60 MM claims
> under these contracts, I am very familiar with the problems that these
> contracts have, the various possible interpretations, and the possible
> ""fixes"".   If, as I suspect, Enron are interested in more power
> development in the rapidly expanding/opening Mexican IPP market, I believe
> I could offer solid advice on the contracts, the players, and the risks.
>
> The first page of my CV is below in e-mail form.  If it is of interest,
> the complete CV is attached.  A list of services my consulting company
> provides is available upon request.  We are basically a boutique business
> consulting firm, consisting of former senior executives of Canadian energy
> firms/governments.  Some of us, myself included, offer multi-lingual
> capabilities.
>
> I can be reached in Mexico City at phone (52) 5290-0117, fax (52) 5291
> 9627 or at the e mail in the CV at any time, or at this e-mail for the
> next two months.
>
> I would appreciate if you could circulate this note and my CV to the
> appropriate parties in Enron.
>
>
> Sincerely,
>
> John Hunter, P. Eng.
>
>
>
> JOHN COLIN HUNTER
>
> 338 Roche Point Drive
> North Vancouver, BC, Canada  V7G 2M2
>
> Tele:  (1-604) 929-3415
> Fax:  (1-604) 929-7168
> E-Mail:  johnhunter@idmail.com
>
>
> PROFILE
>
>    A senior business executive in the energy sector,
> with more than 30 years of diverse experience in Canada and overseas in
> petroleum refining, the upstream oil and gas industry, natural gas utility
> operations and management, and international operations and business
> development in the natural gas and power infrastructure business.
> Multi-lingual.
>
>
> KEY ACCOMPLISHMENTS
>
>    * Successful consultant to international joint
> ventures in facilitation, contract disputes, claims, and business
> development, living and working overseas.
>
> * As the first Vice-President, International, of Canada's 17th largest
> company, developed the international strategic plan, and then developed,
> built and operated successful international energy projects.
>
> * Served as President and/or Director of five power generation joint
> ventures.
>
> * As V.P. of Canada's largest integrated gas utility, developed and
> implemented policy to lead the company into the de-regulated environment.
>
> * Restructured, re-staffed and changed the culture of an operating
> department of 220, while accomplishing profitable growth and business
> change.
>
> * Developed and innovatively financed heavy oil projects, and
> completed the successful disposition of $500 MM of oil and gas assets.
>
> * General management skills include leadership, strategic planning,
> marketing, risk assessment/mitigation, operations and project management.
>
>    * Introduction of innovation/change in human
> and technical fields.
>
>    * Proven record of significant
> industry-recognized accomplishments.
>
>    * Proven record as a very strong negotiator
> and contract expert.
>
>
> RESUME ATTACHED
>
>
>","[('I', 24), ('business', 10), ('international', 6)]"
