Books,New Published Year,Old Published Year
Children’s Middle Grade E-Book ,2017,2015
Children’s Middle Grade Hardcover ,2017,2015
Children’s Middle Grade Paperback ,2017,2015
Young Adult E-Book ,2017,2015
Young Adult Hardcover ,2017,2015
Young Adult Paperback ,2017,2015
Combined Hardcover & Paperback Fiction 2013 2011,2013,2011
Combined Hardcover & Paperback Nonfiction 2013 2011,2013,2011
Hardcover Business Books 2013 2011,2013,2011
Indigenous Americans 2016 2014,2016,2014
Paperback Business Books 2013 2011,2013,2011
